Avg_syn_flag,Avg_urg_flag,Avg_fin_flag,Avg_ack_flag,Avg_psh_flag,Avg_rst_flag,Avg_DNS_pkt,Avg_TCP_pkt,Avg_UDP_pkt,Avg_ICMP_pkt,Duration_window_flow,Avg_delta_time,Min_delta_time,Max_delta_time,StDev_delta_time,Avg_pkts_lenght,Min_pkts_lenght,Max_pkts_lenght,StDev_pkts_lenght,Avg_small_payload_pkt,Avg_payload,Min_payload,Max_payload,StDev_payload,Avg_DNS_over_TCP,Label
0.4,0.0,0.0,0.2,0.3,0.0,0.1,0.9,0.1,0.0,1.001063,0.1001063,0.000665,0.346049,0.13928758955285445,187.2,54.0,606.0,205.40680503711545,0.6,126.1,0.0,552.0,217.76274041054663,0.03333333333333333,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.347289,0.0347289,0.000573,0.145774,0.059651436158318936,192.9,54.0,408.0,179.35343753481715,0.6,138.9,0.0,354.0,179.35343753481715,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.349634,0.0349634,0.000713,0.149943,0.06174022336325359,54.0,54.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.9,0.1,0.0,0.0,1.0,0.0,0.0,0.509974,0.0509974,0.000496,0.164011,0.07427245379475789,87.5,54.0,389.0,105.9363016156407,0.9,33.5,0.0,335.0,105.9363016156407,0.0,1.0
0.0,0.0,0.0,0.6,0.4,0.0,0.0,1.0,0.0,0.0,0.661258,0.0661258,0.002243,0.164185,0.0652544901777733,191.0,54.0,399.0,176.86969465934206,0.6,137.0,0.0,345.0,176.86969465934206,0.0,1.0
0.0,0.0,0.0,0.8,0.2,0.0,0.0,1.0,0.0,0.0,0.670305,0.0670305,0.000396,0.172054,0.08400975122418826,122.4,54.0,401.0,144.21912340447628,0.8,68.4,0.0,347.0,144.21912340447628,0.0,1.0
0.2,0.0,0.0,0.2,0.6,0.0,0.0,1.0,0.0,0.0,0.181828,0.0181828,0.000348,0.154544,0.05054663110051066,275.2,54.0,430.0,185.37037999037975,0.4,218.8,0.0,376.0,188.42375410523778,0.0,1.0
0.0,0.0,0.1,0.4,0.4,0.0,0.1,0.9,0.1,0.0,0.242269,0.0242269,0.000283,0.133429,0.04326885819148044,205.0,54.0,435.0,190.5763189206186,0.5,148.9,0.0,381.0,196.2448159258679,0.025,1.0
0.0,0.0,0.0,0.9,0.0,0.1,0.0,1.0,0.0,0.0,0.210870,0.021087,0.000491,0.119251,0.03960288533364709,54.0,54.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1,0.0,0.0,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.170728,0.0170728,0.00054,0.096163,0.03370328259894642,55.2,54.0,66.0,3.794733192202055,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.9,0.1,0.0,0.0,1.0,0.0,0.0,0.163510,0.016351,0.000418,0.148594,0.048945307578402694,102.2,54.0,536.0,152.42178322011588,0.9,48.2,0.0,482.0,152.42178322011588,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.103491,0.0103491,0.000616,0.091375,0.02998288520139448,54.0,54.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.2,0.0,0.2,0.4,0.0,0.1,0.1,0.9,0.1,0.0,0.280445,0.0280445,0.000345,0.189732,0.062343553967333126,58.7,54.0,77.0,8.138386408455508,0.9,0.0,0.0,0.0,0.0,0.0,1.0
0.1,0.0,0.1,0.5,0.3,0.0,0.0,1.0,0.0,0.0,0.298060,0.029806,0.000274,0.167687,0.05579927324745766,159.8,54.0,414.0,167.70463453478095,0.7,104.6,0.0,360.0,168.49147686983392,0.0,1.0
0.0,0.0,0.1,0.8,0.1,0.0,0.0,1.0,0.0,0.0,1.170059,0.1170059,0.000226,1.042173,0.3445368194304896,88.0,54.0,394.0,107.5174404457249,0.9,34.0,0.0,340.0,107.5174404457249,0.0,1.0
0.2,0.0,0.1,0.5,0.2,0.0,0.0,1.0,0.0,0.0,2.530704,0.2530704,0.000368,1.077711,0.3177850466549677,166.6,54.0,891.0,267.5598375441775,0.8,110.2,0.0,837.0,268.6082649510249,0.0,1.0
0.2,0.0,0.2,0.4,0.1,0.0,0.1,0.9,0.1,0.0,1.570366,0.1570366,0.000487,0.479179,0.1573812484394539,92.5,54.0,394.0,106.20028248550001,0.8,34.0,0.0,340.0,113.33333333333334,0.1,1.0
0.2,0.0,0.0,0.5,0.3,0.0,0.0,1.0,0.0,0.0,1.327844,0.1327844,0.004178,0.282752,0.13447460803045475,134.1,54.0,313.0,123.54526835671747,0.7,77.7,0.0,259.0,125.10888590876883,0.0,1.0
0.2,0.0,0.2,0.5,0.1,0.0,0.0,1.0,0.0,0.0,3.297018,0.3297018,0.000277,2.098766,0.6966227343401161,82.3,54.0,313.0,81.21309418232177,0.9,25.9,0.0,259.0,81.90299139836102,0.0,1.0
0.1,0.0,0.4,0.3,0.1,0.0,0.1,0.9,0.1,0.0,4.078865,0.4078865,4e-05,2.61742,0.837225270976363,84.1,54.0,322.0,83.89735792423184,0.8,26.8,0.0,268.0,89.33333333333333,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.859668,0.0859668,0.000681,0.214391,0.1021647881549705,54.0,54.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.1,0.9,0.0,0.0,0.0,1.0,0.0,0.0,0.544455,0.0544455,0.000481,0.212345,0.08873872805179259,54.0,54.0,54.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
0.1,0.0,0.0,0.8,0.1,0.0,0.0,1.0,0.0,0.0,2.789797,0.2789797,7.2e-05,2.17864,0.7072589453315722,93.9,60.0,393.0,105.10994244123627,0.9,38.7,0.0,339.0,105.53151188152286,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.200236,0.0200236,0.000138,0.193045,0.06406824379930964,60.0,60.0,60.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,9.784004,0.9784004,0.000307,3.363003,1.3401292545190475,60.0,60.0,60.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,1.0
0.3,0.0,0.1,0.6,0.0,0.0,0.0,1.0,0.0,0.0,187.866857,18.7866857,4.5e-05,178.847967,59.27709910382353,61.4,60.0,66.0,2.503331114069145,1.0,4.2,0.0,6.0,2.898275349237888,0.0,1.0
0.0,0.0,0.0,0.9,0.1,0.0,0.0,1.0,0.0,0.0,0.426792,0.0426792,5.2e-05,0.208832,0.09107156358326127,79.4,60.0,254.0,61.348186607266555,0.9,25.4,6.0,200.0,61.348186607266555,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.530410,0.053041,6.2e-05,0.233362,0.08106845166603206,60.0,60.0,60.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.313909,0.0313909,0.000157,0.102538,0.04560244354411772,60.0,60.0,60.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.216221,0.0216221,0.000292,0.097887,0.03759205914854596,60.0,60.0,60.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.212415,0.0212415,0.000108,0.093516,0.036285682072960956,60.0,60.0,60.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,1.0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.110625,0.0110625,0.000212,0.080869,0.025948275067911548,60.0,60.0,60.0,0.0,1.0,6.0,6.0,6.0,0.0,0.0,1.0
0.0,0.0,0.1,0.5,0.0,0.0,0.0,0.6,0.4,0.0,33.601988,3.3601988,1.5e-05,33.490077,11.158740526176137,62.8,60.0,67.0,3.6147844564602556,0.6,3.6,6.0,6.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.001282,0.0001282,1.1e-05,0.000288,0.00010049516295711837,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000820,8.2e-05,1.2e-05,0.000236,6.314951394200205e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000989,9.89e-05,5.2e-05,0.000297,7.767632271877391e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000627,6.27e-05,3.4e-05,0.000144,3.329038900343461e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000629,6.29e-05,3.9e-05,0.000155,3.428718581498212e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000625,6.25e-05,4.2e-05,0.000115,2.548583484561135e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000465,4.65e-05,4e-05,6.3e-05,8.944271909999158e-06,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000591,5.91e-05,4.5e-05,0.000102,1.9377822375076102e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000523,5.23e-05,3.8e-05,8.4e-05,1.247441826744282e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000552,5.52e-05,5e-05,8.1e-05,9.962429422585638e-06,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000644,6.44e-05,7e-06,0.000151,4.8577543966093814e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000808,8.08e-05,3.1e-05,0.000141,3.089813011242662e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000832,8.32e-05,4.8e-05,0.000225,5.936562791529942e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000631,6.31e-05,4.1e-05,0.0001,1.927073198171546e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000529,5.29e-05,4.1e-05,8.1e-05,1.2527746981977423e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000511,5.11e-05,4.3e-05,9.8e-05,1.6169243780846537e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000461,4.61e-05,4e-05,6.6e-05,9.76956725983523e-06,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000561,5.61e-05,4.3e-05,9.2e-05,1.5411035007422442e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000479,4.79e-05,3.9e-05,6.6e-05,7.79066392834683e-06,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000489,4.89e-05,3.7e-05,7.2e-05,1.0965856099730654e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000497,4.97e-05,3.9e-05,7.2e-05,1.062753237795324e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000469,4.69e-05,4.1e-05,6.5e-05,7.54063068390908e-06,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.000517,5.17e-05,4e-06,0.000145,3.7924632862794835e-05,67.0,67.0,67.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
